,formula,composition,compositions,number_element
0,Ac2Ag3,Ac2 Ag3,Ac Ag,5
1,Ac2Al,Ac2 Al1,Ac Al,5
2,Ac2Al3,Ac2 Al3,Ac Al,5
3,Ac2As3,Ac2 As3,Ac As,5
4,Ac2Au3,Ac2 Au3,Ac Au,5
5,Ac2B3,Ac2 B3,Ac B,4
6,Ac2Be3,Ac2 Be3,Ac Be,5
7,Ac2Bi3,Ac2 Bi3,Ac Bi,5
8,Ac2Br,Ac2 Br1,Ac Br,5
9,Ac2Br3,Ac2 Br3,Ac Br,5
10,Ac2C3,Ac2 C3,Ac C,4
11,Ac2Cd3,Ac2 Cd3,Ac Cd,5
12,Ac2Ce3,Ac2 Ce3,Ac Ce,5
13,Ac2Cl,Ac2 Cl1,Ac Cl,5
14,Ac2Cl3,Ac2 Cl3,Ac Cl,5
15,Ac2Co,Ac2 Co1,Ac Co,5
16,Ac2Co3,Ac2 Co3,Ac Co,5
17,Ac2F,Ac2 F1,Ac F,4
18,Ac2F3,Ac2 F3,Ac F,4
19,Ac2Fe,Ac2 Fe1,Ac Fe,5
20,Ac2Fe3,Ac2 Fe3,Ac Fe,5
21,Ac2I,Ac2 I1,Ac I,4
22,Ac2I3,Ac2 I3,Ac I,4
23,Ac2Mg,Ac2 Mg1,Ac Mg,5
24,Ac2Mg3,Ac2 Mg3,Ac Mg,5
25,Ac2N,Ac2 N1,Ac N,4
26,Ac2N3,Ac2 N3,Ac N,4
27,Ac2Ni,Ac2 Ni1,Ac Ni,5
28,Ac2Ni3,Ac2 Ni3,Ac Ni,5
29,Ac2O,Ac2 O1,Ac O,4
30,Ac2O3,Ac2 O3,Ac O,4
31,Ac2S,Ac2 S1,Ac S,4
32,Ac2S3,Ac2 S3,Ac S,4
33,Ac2Ti,Ac2 Ti1,Ac Ti,5
34,Ac2Ti3,Ac2 Ti3,Ac Ti,5
35,Ac3Ag,Ac3 Ag1,Ac Ag,5
36,Ac3Al,Ac3 Al1,Ac Al,5
37,Ac3As,Ac3 As1,Ac As,5
38,Ac3Au,Ac3 Au1,Ac Au,5
39,Ac3B,Ac3 B1,Ac B,4
40,Ac3Be,Ac3 Be1,Ac Be,5
41,Ac3Bi,Ac3 Bi1,Ac Bi,5
42,Ac3Br,Ac3 Br1,Ac Br,5
43,Ac3C,Ac3 C1,Ac C,4
44,Ac3Cd,Ac3 Cd1,Ac Cd,5
45,Ac3Ce,Ac3 Ce1,Ac Ce,5
46,Ac3Cl,Ac3 Cl1,Ac Cl,5
47,Ac3Co,Ac3 Co1,Ac Co,5
48,Ac3Cr,Ac3 Cr1,Ac Cr,5
49,Ac3Cu,Ac3 Cu1,Ac Cu,5
50,Ac3Dy,Ac3 Dy1,Ac Dy,5
51,Ac3Er,Ac3 Er1,Ac Er,5
52,Ac3Eu,Ac3 Eu1,Ac Eu,5
53,Ac3F,Ac3 F1,Ac F,4
54,Ac3Fe,Ac3 Fe1,Ac Fe,5
55,Ac3Ga,Ac3 Ga1,Ac Ga,5
56,Ac3Gd,Ac3 Gd1,Ac Gd,5
57,Ac3Ge,Ac3 Ge1,Ac Ge,5
58,Ac3H,Ac3 H1,Ac H,4
59,Ac3Hf,Ac3 Hf1,Ac Hf,5
60,Ac3Hg,Ac3 Hg1,Ac Hg,5
61,Ac3Ho,Ac3 Ho1,Ac Ho,5
62,Ac3I,Ac3 I1,Ac I,4
63,Ac3In,Ac3 In1,Ac In,5
64,Ac3Ir,Ac3 Ir1,Ac Ir,5
65,Ac3La,Ac3 La1,Ac La,5
66,Ac3Lu,Ac3 Lu1,Ac Lu,5
67,Ac3Mg,Ac3 Mg1,Ac Mg,5
68,Ac3Mn,Ac3 Mn1,Ac Mn,5
69,Ac3Mo,Ac3 Mo1,Ac Mo,5
70,Ac3N,Ac3 N1,Ac N,4
71,Ac3Nb,Ac3 Nb1,Ac Nb,5
72,Ac3Nd,Ac3 Nd1,Ac Nd,5
73,Ac3Ni,Ac3 Ni1,Ac Ni,5
74,Ac3Np,Ac3 Np1,Ac Np,5
75,Ac3O,Ac3 O1,Ac O,4
76,Ac3Os,Ac3 Os1,Ac Os,5
77,Ac3P,Ac3 P1,Ac P,4
78,Ac3Pb,Ac3 Pb1,Ac Pb,5
79,Ac3Pd,Ac3 Pd1,Ac Pd,5
80,Ac3Pm,Ac3 Pm1,Ac Pm,5
81,Ac3Pr,Ac3 Pr1,Ac Pr,5
82,Ac3Pt,Ac3 Pt1,Ac Pt,5
83,Ac3Re,Ac3 Re1,Ac Re,5
84,Ac3Rh,Ac3 Rh1,Ac Rh,5
85,Ac3Ru,Ac3 Ru1,Ac Ru,5
86,Ac3S,Ac3 S1,Ac S,4
87,Ac3Sb,Ac3 Sb1,Ac Sb,5
88,Ac3Sc,Ac3 Sc1,Ac Sc,5
89,Ac3Se,Ac3 Se1,Ac Se,5
90,Ac3Si,Ac3 Si1,Ac Si,5
91,Ac3Sm,Ac3 Sm1,Ac Sm,5
92,Ac3Sn,Ac3 Sn1,Ac Sn,5
93,Ac3Ta,Ac3 Ta1,Ac Ta,5
94,Ac3Tb,Ac3 Tb1,Ac Tb,5
95,Ac3Te,Ac3 Te1,Ac Te,5
96,Ac3Ti,Ac3 Ti1,Ac Ti,5
97,Ac3Tl,Ac3 Tl1,Ac Tl,5
98,Ac3Tm,Ac3 Tm1,Ac Tm,5
99,Ac3V,Ac3 V1,Ac V,4
100,Ac3W,Ac3 W1,Ac W,4
101,Ac3Y,Ac3 Y1,Ac Y,4
102,Ac3Yb,Ac3 Yb1,Ac Yb,5
103,Ac3Zn,Ac3 Zn1,Ac Zn,5
104,Ac3Zr,Ac3 Zr1,Ac Zr,5
105,AcAg,Ac1 Ag1,Ac Ag,5
106,AcAg3,Ac1 Ag3,Ac Ag,5
107,AcAl,Ac1 Al1,Ac Al,5
108,AcAl3,Ac1 Al3,Ac Al,5
109,AcAs,Ac1 As1,Ac As,5
110,AcAs3,Ac1 As3,Ac As,5
111,AcAu,Ac1 Au1,Ac Au,5
112,AcAu3,Ac1 Au3,Ac Au,5
113,AcB,Ac1 B1,Ac B,4
114,AcB3,Ac1 B3,Ac B,4
115,AcBe,Ac1 Be1,Ac Be,5
116,AcBe3,Ac1 Be3,Ac Be,5
117,AcBi,Ac1 Bi1,Ac Bi,5
118,AcBi3,Ac1 Bi3,Ac Bi,5
119,AcBr,Ac1 Br1,Ac Br,5
120,AcBr3,Ac1 Br3,Ac Br,5
121,AcC,Ac1 C1,Ac C,4
122,AcC3,Ac1 C3,Ac C,4
123,AcCd,Ac1 Cd1,Ac Cd,5
124,AcCd3,Ac1 Cd3,Ac Cd,5
125,AcCe,Ac1 Ce1,Ac Ce,5
126,AcCe3,Ac1 Ce3,Ac Ce,5
127,AcCl,Ac1 Cl1,Ac Cl,5
128,AcCl3,Ac1 Cl3,Ac Cl,5
129,AcCo,Ac1 Co1,Ac Co,5
130,AcCo3,Ac1 Co3,Ac Co,5
131,AcCr,Ac1 Cr1,Ac Cr,5
132,AcCr3,Ac1 Cr3,Ac Cr,5
133,AcCu,Ac1 Cu1,Ac Cu,5
134,AcCu3,Ac1 Cu3,Ac Cu,5
135,AcDy,Ac1 Dy1,Ac Dy,5
136,AcDy3,Ac1 Dy3,Ac Dy,5
137,AcEr,Ac1 Er1,Ac Er,5
138,AcEr3,Ac1 Er3,Ac Er,5
139,AcEu,Ac1 Eu1,Ac Eu,5
140,AcEu3,Ac1 Eu3,Ac Eu,5
141,AcF,Ac1 F1,Ac F,4
142,AcF3,Ac1 F3,Ac F,4
143,AcFe,Ac1 Fe1,Ac Fe,5
144,AcFe3,Ac1 Fe3,Ac Fe,5
145,AcGa,Ac1 Ga1,Ac Ga,5
146,AcGa3,Ac1 Ga3,Ac Ga,5
147,AcGd,Ac1 Gd1,Ac Gd,5
148,AcGd3,Ac1 Gd3,Ac Gd,5
149,AcGe,Ac1 Ge1,Ac Ge,5
150,AcGe3,Ac1 Ge3,Ac Ge,5
151,AcH,Ac1 H1,Ac H,4
152,AcH2,Ac1 H2,Ac H,4
153,AcH3,Ac1 H3,Ac H,4
154,AcHf,Ac1 Hf1,Ac Hf,5
155,AcHf3,Ac1 Hf3,Ac Hf,5
156,AcHg,Ac1 Hg1,Ac Hg,5
157,AcHg3,Ac1 Hg3,Ac Hg,5
158,AcHo,Ac1 Ho1,Ac Ho,5
159,AcHo3,Ac1 Ho3,Ac Ho,5
160,AcI,Ac1 I1,Ac I,4
161,AcI3,Ac1 I3,Ac I,4
162,AcIn,Ac1 In1,Ac In,5
163,AcIn3,Ac1 In3,Ac In,5
164,AcIr,Ac1 Ir1,Ac Ir,5
165,AcIr3,Ac1 Ir3,Ac Ir,5
166,AcLa,Ac1 La1,Ac La,5
167,AcLa3,Ac1 La3,Ac La,5
168,AcLu,Ac1 Lu1,Ac Lu,5
169,AcLu3,Ac1 Lu3,Ac Lu,5
170,AcMg,Ac1 Mg1,Ac Mg,5
171,AcMg149,Ac1 Mg149,Ac Mg,5
172,AcMg3,Ac1 Mg3,Ac Mg,5
173,AcMg5,Ac1 Mg5,Ac Mg,5
174,AcMn,Ac1 Mn1,Ac Mn,5
175,AcMn3,Ac1 Mn3,Ac Mn,5
176,AcMo,Ac1 Mo1,Ac Mo,5
177,AcMo3,Ac1 Mo3,Ac Mo,5
178,AcN,Ac1 N1,Ac N,4
179,AcN3,Ac1 N3,Ac N,4
180,AcNb,Ac1 Nb1,Ac Nb,5
181,AcNb3,Ac1 Nb3,Ac Nb,5
182,AcNd,Ac1 Nd1,Ac Nd,5
183,AcNd3,Ac1 Nd3,Ac Nd,5
184,AcNi,Ac1 Ni1,Ac Ni,5
185,AcNi3,Ac1 Ni3,Ac Ni,5
186,AcNp,Ac1 Np1,Ac Np,5
187,AcNp3,Ac1 Np3,Ac Np,5
188,AcO,Ac1 O1,Ac O,4
189,AcO3,Ac1 O3,Ac O,4
190,AcOs,Ac1 Os1,Ac Os,5
191,AcOs3,Ac1 Os3,Ac Os,5
192,AcP,Ac1 P1,Ac P,4
193,AcP3,Ac1 P3,Ac P,4
194,AcPb,Ac1 Pb1,Ac Pb,5
195,AcPb3,Ac1 Pb3,Ac Pb,5
196,AcPd,Ac1 Pd1,Ac Pd,5
197,AcPd3,Ac1 Pd3,Ac Pd,5
198,AcPm,Ac1 Pm1,Ac Pm,5
199,AcPm3,Ac1 Pm3,Ac Pm,5
200,AcPr,Ac1 Pr1,Ac Pr,5
201,AcPr3,Ac1 Pr3,Ac Pr,5
202,AcPt,Ac1 Pt1,Ac Pt,5
203,AcPt3,Ac1 Pt3,Ac Pt,5
204,AcRe,Ac1 Re1,Ac Re,5
205,AcRe3,Ac1 Re3,Ac Re,5
206,AcRh,Ac1 Rh1,Ac Rh,5
207,AcRh3,Ac1 Rh3,Ac Rh,5
208,AcRu,Ac1 Ru1,Ac Ru,5
209,AcRu3,Ac1 Ru3,Ac Ru,5
210,AcS,Ac1 S1,Ac S,4
211,AcS3,Ac1 S3,Ac S,4
212,AcSb,Ac1 Sb1,Ac Sb,5
213,AcSb3,Ac1 Sb3,Ac Sb,5
214,AcSc,Ac1 Sc1,Ac Sc,5
215,AcSc3,Ac1 Sc3,Ac Sc,5
216,AcSe,Ac1 Se1,Ac Se,5
217,AcSe3,Ac1 Se3,Ac Se,5
218,AcSi,Ac1 Si1,Ac Si,5
219,AcSi3,Ac1 Si3,Ac Si,5
220,AcSm,Ac1 Sm1,Ac Sm,5
221,AcSm3,Ac1 Sm3,Ac Sm,5
222,AcSn,Ac1 Sn1,Ac Sn,5
223,AcSn3,Ac1 Sn3,Ac Sn,5
224,AcTa,Ac1 Ta1,Ac Ta,5
225,AcTa3,Ac1 Ta3,Ac Ta,5
226,AcTb,Ac1 Tb1,Ac Tb,5
227,AcTb3,Ac1 Tb3,Ac Tb,5
228,AcTe,Ac1 Te1,Ac Te,5
229,AcTe3,Ac1 Te3,Ac Te,5
230,AcTi,Ac1 Ti1,Ac Ti,5
231,AcTi3,Ac1 Ti3,Ac Ti,5
232,AcTl,Ac1 Tl1,Ac Tl,5
233,AcTl3,Ac1 Tl3,Ac Tl,5
234,AcTm,Ac1 Tm1,Ac Tm,5
235,AcTm3,Ac1 Tm3,Ac Tm,5
236,AcV,Ac1 V1,Ac V,4
237,AcV3,Ac1 V3,Ac V,4
238,AcW,Ac1 W1,Ac W,4
239,AcW3,Ac1 W3,Ac W,4
240,AcY,Ac1 Y1,Ac Y,4
241,AcY3,Ac1 Y3,Ac Y,4
242,AcYb,Ac1 Yb1,Ac Yb,5
243,AcYb3,Ac1 Yb3,Ac Yb,5
244,AcZn,Ac1 Zn1,Ac Zn,5
245,AcZn3,Ac1 Zn3,Ac Zn,5
246,AcZr,Ac1 Zr1,Ac Zr,5
247,AcZr3,Ac1 Zr3,Ac Zr,5
248,Ag11Hg9,Ag11 Hg9,Ag Hg,5
249,Ag12As17,Ag12 As17,Ag As,5
250,Ag12Au17,Ag12 Au17,Ag Au,5
251,Ag12B17,Ag12 B17,Ag B,4
252,Ag12Br17,Ag12 Br17,Ag Br,5
253,Ag12C,Ag12 C1,Ag C,4
254,Ag12C17,Ag12 C17,Ag C,4
